Fecha,ID_de_trampa,Zona,Coordenada_Este,Coordenada_Norte,Responsable_de_captura,Otros_responsables,Longitud_total,Longitud_de_cola,Altura,Sexo,Edad,Color,Patron,Gris,Negro,Pardo,Amarillo,Naranja,Blanco,Peso,Condicion_corporal,Altitud,Fase,Estado_de_salud,Estado_reproductivo,Contenido_estomacal_notas,Contenido_estomacal_plumas,Contenido_estomacal_pelos,Contenido_estomacal_insectos,Contenido_estomacal_plantas,Contenido_estomacal_desperdicios,Contenido_estomacal_inorganico,Observaciones
17/Abr/2020,TC-03-120-NS,3,379699,3205616,Yureli Garibay Melendrez,NA,NA,NA,NA,NA,NA,NA,atigrado,0,0,0,0,1,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,Descomposición avanzada
18/Abr/2020,TC-02-123-MO,2,380474,3203370,Yureli Garibay Melendrez,NA,62,28,20,H,adulto,NA,atigrado,1,1,0,0,0,0,1.5,2,NA,erradicacion,muerto,lactando,NA,NA,NA,NA,NA,NA,NA,Tenia los pezones hinchados.
17/Abr/2020,TC-01-090-TR,1,375383,3198930,Eva Garcia,NA,75,29,28,H,adulto,NA,atigrado,1,1,0,0,0,0,4.6,4,NA,erradicacion,sano,preñada,NA,NA,NA,NA,NA,NA,NA,NA
29/Abr/2020,TC-03-085-K9,3,376728,3211841,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
29/Abr/2020,TC-04-132-MV,4,379736,3212660,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,atigrado,1,1,0,0,0,1,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
01/May/2020,TC-05-099-UT,5,373771,3216284,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
01/May/2020,TC-05-102-UT,5,373010,3216380,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,atigrado,1,1,0,0,0,1,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
01/May/2020,TC-05-113-UT,5,371740,3216409,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
28/Abr/2020,TL-04-024-NN,4,372731,3211702,Emmanuel Mendoza,NA,NA,NA,NA,NA,adulto,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
29/Abr/2020,TC-04-099-MV,4,379991,3211529,Emmanuel Mendoza,NA,NA,NA,NA,NA,juvenil,NA,atigrado,1,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
29/Abr/2020,TC-04-100-MV,4,380286,3211530,Emmanuel Mendoza,NA,80,30,28,M,adulto,NA,atigrado,1,1,0,0,0,1,3,3,NA,erradicacion,sano,reproductivo,NA,NA,NA,NA,NA,NA,NA,NA
29/Abr/2020,TC-03-073-CF,3,378119,3210454,Emmanuel Mendoza,NA,70,26,26,H,juvenil,NA,atigrado,1,1,0,0,0,1,2,3,NA,erradicacion,sano,no reproductivo,NA,NA,NA,NA,NA,NA,NA,NA
30/Abr/2020,TC-04-069-CR,4,377311,3212665,Emmanuel Mendoza,NA,NA,NA,NA,NA,NA,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
29/Abr/2020,TC-04-118-MV,4,377962,3211707,Yureli Garibay Melendrez,NA,NA,NA,NA,NA,adulto,NA,atigrado,1,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,reproductivo,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
30/Abr/2020,TC-04-071-CR,4,377704,3212948,Yureli Garibay Melendrez,NA,NA,NA,NA,NA,adulto,NA,atigrado,1,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,reproductivo,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
28/Abr/2020,TC-01-091-TR,1,375460,3198798,Luis Martínez,NA,61,26,NA,H,juvenil,NA,atigrado,1,0,0,0,0,1,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,El gato estaba muerto en la trampa se pudo medir pero debido al mal olor y estado en descomposicion no fue posible pesarlo. 
29/Abr/2020,TC-02-134-JR,2,378865,3204201,Shamed Galicia,NA,51,22,NA,NA,NA,NA,atigrado,1,0,0,0,0,1,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,Estado muy avanzado de descomposicion.  Solo habia pelo y hueso por lo que solo se pudo sacar una medida aproximada de longitud total y longitud de la cola.
01/May/2020,TC-01-047-AG,1,375737,3196346,Jessica Vazquez,NA,71,30,29,M,adulto,NA,atigrado,1,0,0,0,0,1,2.8,3,NA,erradicacion,sano,reproductivo,NA,NA,NA,NA,NA,NA,NA,NA
30/Abr/2020,TC-04-089-JR,4,376923,3213688,Francisco Duarte,NA,NA,NA,NA,NA,adulto,NA,solido,0,1,0,0,0,0,NA,NA,NA,erradicacion,muerto,NA,NA,NA,NA,NA,NA,NA,NA,En estado de descomposicion
